rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
76,18.8k,51.0,$15.5k,"39,443",autolist,2016,grand_cherokee,Latitude 75th Anniversary,,,,{},,,9,['autolist'],ZACCJABT4GPC68805,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABT4GPC68805,,,
77,18.8k,51.8,$16.0k,"25,020",autolist,2017,grand_cherokee,Sport,,,,{},,,0,['autolist'],ZACCJAAB3HPF31408,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAB3HPF31408,,,
78,18.8k,52.2,$15.0k,"55,675",autolist,2017,grand_cherokee,Sport,,,,{},,,1,['autolist'],1C4NJRBB3HD159329,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJRBB3HD159329,,,
79,18.8k,52.3,$15.0k,"55,794",autolist,2017,grand_cherokee,Sport SE,,,,{},,,1,['autolist'],1C4NJPBA9HD161999,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBA9HD161999,,,
80,18.9k,52.7,$15.0k,"56,175",autolist,2015,grand_cherokee,Sport,,,,{},,,10,['autolist'],1C4PJLAB5FW762498,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB5FW762498,,,
81,18.9k,53.5,$17.0k,"27,162",autolist,2018,compass,Sport,fwd,black,2122,{},16998,0%,42,['autolist'],3C4NJCAB2JT124120,https://www.autolist.com/jeep-compass#vin=3C4NJCAB2JT124120,,,
82,18.9k,54.0,$15.5k,"42,762",autolist,2018,grand_cherokee,Sport,,,,{},,,3,"['auto_trader', 'autolist']",3C4NJDAB0JT111811,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJDAB0JT111811,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJDAB0JT111811,,
83,18.9k,54.6,$15.8k,"35,784",autolist,2017,grand_cherokee,Altitude,,,,{},,,8,['autolist'],ZACCJABB7HPG15410,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB7HPG15410,,,
84,19.0k,55.2,$15.0k,"59,746",autolist,2016,grand_cherokee,Sport,,,,{},,,4,['autolist'],ZACCJAAT1GPC96420,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAT1GPC96420,,,
85,19.0k,55.3,$15.0k,"59,832",autolist,2016,grand_cherokee,Sport,,,,{},,,2,['autolist'],1C4PJLAB6GW200773,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB6GW200773,,,
86,19.0k,55.9,$16.0k,"29,941",autolist,2016,grand_cherokee,Latitude,,,,{},,,1,['autolist'],ZACCJBBT6GPE15311,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBT6GPE15311,,,
87,19.0k,56.1,$15.6k,"43,443",autolist,2016,grand_cherokee,High Altitude,,,,{},,,1,['autolist'],1C4NJRFB2GD558645,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJRFB2GD558645,,,
