rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
44,17.4k,28.2,$16.5k,"40,360",autolist,2018,compass,Latitude,fwd,silver,63,{},17361,5%,32,"['autolist', 'edmunds']",3C4NJCBB4JT137059,https://www.autolist.com/jeep-compass#vin=3C4NJCBB4JT137059,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB4JT137059/,,
45,17.5k,31.1,$17.0k,"14,763",auto_trader,2018,compass,Latitude,,,,{},,,0,['auto_trader'],3C4NJCBB3JT466707,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB3JT466707,,,
46,17.6k,33.0,$16.5k,"33,329",edmunds,2018,compass,Latitude,fwd,black,1637,{},18110,9%,7,"['autolist', 'edmunds']",3C4NJCBB0JT494724,https://www.autolist.com/jeep-compass#vin=3C4NJCBB0JT494724,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB0JT494724/,,
47,17.6k,33.9,$16.0k,"48,688",edmunds,2018,compass,Latitude,fwd,red,49,{},16482,3%,26,"['auto_trader', 'autolist', 'edmunds']",3C4NJCBB5JT125566,https://www.autolist.com/jeep-compass#vin=3C4NJCBB5JT125566,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB5JT125566,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB5JT125566/,
48,17.7k,34.5,$16.5k,"33,070",edmunds,2019,compass,Limited,fwd,silver,1637,{},17720,7%,45,"['autolist', 'edmunds']",3C4NJCCB4KT664485,https://www.autolist.com/jeep-compass#vin=3C4NJCCB4KT664485,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCCB4KT664485/,,
49,17.7k,34.8,$16.3k,"54,289",edmunds,2018,compass,Sport,4x4,blue,162,{'not_pictures': 2000},17157,5%,26,"['autolist', 'edmunds']",3C4NJDAB0JT434434,https://www.autolist.com/jeep-compass#vin=3C4NJDAB0JT434434,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDAB0JT434434/,,
50,17.7k,36.2,$16.5k,"38,328",edmunds,2019,compass,Limited,fwd,black,1637,{},16990,3%,33,"['autolist', 'edmunds']",3C4NJCCB3KT675574,https://www.autolist.com/jeep-compass#vin=3C4NJCCB3KT675574,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCCB3KT675574/,,
51,17.8k,37.0,$16.5k,"38,551",autolist,2019,compass,FWD Sport w/ Tech Group,fwd,blue,69,{},17175,4%,45,"['auto_trader', 'autolist', 'edmunds']",3C4NJCAB6KT615808,https://www.autolist.com/jeep-compass#vin=3C4NJCAB6KT615808,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCAB6KT615808,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCAB6KT615808/,
52,17.8k,37.6,$16.0k,"36,991",edmunds,2018,compass,Latitude,fwd,silver,1476,{},17580,9%,29,"['autolist', 'edmunds']",3C4NJCBB2JT137349,https://www.autolist.com/jeep-compass#vin=3C4NJCBB2JT137349,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB2JT137349/,,
53,17.8k,38.2,$15.9k,"40,954",edmunds,2019,compass,Latitude,fwd,white,2377,{},16667,5%,3,['edmunds'],3C4NJCBB2KT652062,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCBB2KT652062/,,,
54,17.9k,38.7,$16.9k,"29,016",edmunds,2018,compass,Latitude,fwd,white,1637,{},18370,8%,10,"['auto_trader', 'autolist', 'edmunds']",3C4NJCBB0JT233660,https://www.autolist.com/jeep-compass#vin=3C4NJCBB0JT233660,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB0JT233660,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB0JT233660/,
55,17.9k,41.0,$17.0k,"32,671",edmunds,2019,compass,Limited,fwd,gray,1637,{},17688,4%,45,"['autolist', 'edmunds']",3C4NJCCBXKT676172,https://www.autolist.com/jeep-compass#vin=3C4NJCCBXKT676172,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCCBXKT676172/,,
56,17.9k,42.2,$17.0k,"26,344",edmunds,2019,compass,Limited,fwd,silver,1637,{},18457,8%,32,"['autolist', 'edmunds']",3C4NJCCB9KT659833,https://www.autolist.com/jeep-compass#vin=3C4NJCCB9KT659833,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCCB9KT659833/,,
57,18.0k,43.3,$17.0k,"30,252",edmunds,2019,compass,Limited,fwd,black,1637,{},18064,6%,32,"['autolist', 'edmunds']",3C4NJCCB9KT667253,https://www.autolist.com/jeep-compass#vin=3C4NJCCB9KT667253,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCCB9KT667253/,,
58,18.0k,44.7,$17.0k,"32,231",edmunds,2019,compass,Limited,fwd,black,1637,{},17688,4%,32,"['autolist', 'edmunds']",3C4NJCCBXKT667259,https://www.autolist.com/jeep-compass#vin=3C4NJCCBXKT667259,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCCBXKT667259/,,
59,18.1k,45.0,$17.0k,"44,207",edmunds,2018,compass,Latitude,fwd,black,449,{},16562,-3%,4,['edmunds'],3C4NJCBB8JT102637,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB8JT102637/,,,
60,18.2k,46.4,$17.0k,"18,426",edmunds,2018,compass,Latitude,fwd,blue,1637,{},19517,13%,27,"['auto_trader', 'autolist', 'edmunds']",3C4NJCBB8JT461616,https://www.autolist.com/jeep-compass#vin=3C4NJCBB8JT461616,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB8JT461616,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB8JT461616/,
61,18.2k,46.7,$16.9k,"40,007",edmunds,2018,compass,Sport,,,,{},,,28,['edmunds'],3C4NJCAB6JT339452,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCAB6JT339452/,,,
62,18.3k,47.3,$16.0k,"42,442",edmunds,2018,compass,Sport,fwd,black,1961,{},16420,3%,2,['edmunds'],3C4NJCAB4JT489589,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCAB4JT489589/,,,
63,18.4k,48.7,$17.0k,"17,766",edmunds,2018,compass,Latitude,fwd,black,1830,{},19089,11%,3,['edmunds'],3C4NJCBB6JT233565,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB6JT233565/,,,
